stop_id,stop_name,stop_lat,stop_lon
MA-00000910,Fournier 2740,-31.44047207719636,-64.2418134212494
MA-00000898,Berna 3523,-31.44887475647075,-64.24677014350893
MA-00000372,Bulevar San Juan 540,-31.418802297410146,-64.19330969452858
MA-00000905,San Marino 4678,-31.449652744213438,-64.24777865409852
MA-00000493,Humberto Primo 286,-31.409033152571638,-64.18536901474
MA-00000785,Avenida Castro Barros 1049,-31.39611212390397,-64.2007863521576
MA-00000604,Tilcara 1425,-31.472394588876305,-64.22349929809572
MA-00000879,Dirección desconocida,-31.498392225973475,-64.26188707351686
MA-00000870,Dirección desconocida,-31.350894926775805,-64.15152797024008
MA-00000854,Avenida Vélez Sarsfield 3895,-31.456013695723552,-64.20089900493623
MA-00000844,Avenida Vélez Sarsfield 3906,-31.45585810925765,-64.20111358165742
MA-00000831,Roberto Casaux 2802,-31.373635737010627,-64.16872859001161
MA-00000822,Avenida Del Trabajo 1292,-31.389582252918746,-64.16125595569612
MA-00000791,Agustín Garzón 3220,-31.426063115546814,-64.14303302764894
MA-00000735,José Barros Pazos 2685,-31.391743663020428,-64.2188322544098
MA-00000670,Manuel de Falla 7177,-31.338371599532756,-64.29044723510744
MA-00000630,Impira S/N,-31.46350899634536,-64.25836801528932
MA-00000618,Tinogasta 5519,-31.43727739687497,-64.115127325058
MA-00000610,Bajada de Piedra 2667,-31.408785920666165,-64.15050566196443
MA-00000590,A189 S/N,-31.559704828202047,-64.17457580566408
MA-00000582,Los Álamos 7825,-31.343828373304916,-64.31002736091615
MA-00000543,Avenida Ingeniero Medina Allende S/N,-31.43766186273484,-64.19232666492464
MA-00000529,Ortiz Herrera 1951,-31.429418386061382,-64.1621893644333
MA-00000461,Punta Del Este 4544,-31.46166954588164,-64.21035647392274
MA-00000426,Avenida Rafael Núñez 5955,-31.34827773366709,-64.249384539032
MA-00000409,Avenida Menéndez Pidal 3401,-31.387324625264277,-64.2282146215439
MA-00000397,Montana 1900,-31.46850553012298,-64.23189997673036
p37_ida_a1,Kansas 1760,-31.466583817919712,-64.22893881797792
p33_ida_a1,Avenida Armada Argentina 584,-31.456819080356468,-64.20903682708742
MA-00000360,Granadero Toba 3900,-31.364630850882847,-64.14671301841737
MA-00000346,Avenida Octavio Pinto 2937,-31.38663313007432,-64.21849966049196
MA-00000268,López y Planes 2159,-31.42044173845403,-64.15574669837953
MA-00000242,Pedro Medrano 4827,-31.435373352229437,-64.12416100502016
MA-00000231,Igualdad 3973,-31.394390406775692,-64.22991514205934
C9336,La Tablada 6348,-31.38476,-64.257499
MA-00000514,Bulevar Chacabuco 436,-31.422419329726274,-64.1823971271515
C7148,Francisco de Bengolea 310,-31.401112,-64.266114
C3840,Henderson S/N,-31.453926985139734,-64.26051378250123
MA-00000932,Dirección desconocida,-31.471790651526558,-64.14347290992738
MA-00000922,Avenida El Quebracho 4061,-31.477038370885555,-64.14404690265657
MA-00000913,Mariano Fragueíro 4841,-31.35895082488845,-64.18395280838014
MA-00000897,Avenida Agustín Roque Arias 3064,-31.443959555161285,-64.24280047416688
MA-00000884,Avenida Armada Argentina 2634,-31.478868369465296,-64.23867523670198
MA-00000877,Dirección desconocida,-31.499504851861523,-64.26011038361617
MA-00000869,Victoriano Montes 4451,-31.35918819352425,-64.15357601988536
MA-00000848,Colorado 5814,-31.480510762717568,-64.23472166061403
MA-00000837,Congreso 5220,-31.472408314679864,-64.22466874122621
MA-00000827,Ramón Aberastaín Oro 1801,-31.364992711877477,-64.1481775045395
MA-00000728,27 de Abril 322,-31.41571732384941,-64.18892025947572
MA-00000711,Dirección desconocida,-31.31560642996835,-64.21401500701906
MA-00000673,Ricardo Rojas 9143,-31.334293703033943,-64.29232478141786
MA-00000663,Avenida Recta Martinoli 6618,-31.348240293979135,-64.25662994384767
MA-00000886,Avenida Madrid 2225,-31.433899521885692,-64.16879296302797
MA-00000859,Tilcara 688,-31.474499188582687,-64.21259880065918
MA-00000636,Avenida Revolución Libertadora S/N,-31.370905964398577,-64.25148010253908
MA-00000628,Escalante 3190,-31.449405619395343,-64.13969635963441
MA-00000617,Agustín Garzón 3588,-31.42643389486057,-64.13877904415132
MA-00000592,A189 S/N,-31.558498077706698,-64.18367385864259
MA-00000577,Luis Burela S/N,-31.4498632574332,-64.11154925823213
MA-00000550,Belgrano 1415,-31.431272201628094,-64.1950571537018
MA-00000499,Juan Vucetich 6220,-31.464991512210997,-64.10089015960695
MA-00000476,Avenida Ambrosio Olmos 533,-31.42913916621951,-64.18575525283815
MA-00000468,Punta Del Este 4560,-31.461980699245615,-64.21043157577516
MA-00000464,Barda Del Medio 1038,-31.462346760703024,-64.21521663665771
p13_reg,Avenida Amadeo Sabattini 5013,-31.446403458433668,-64.12172555923463
